id;damage_organ;damage_visual;damage_cat;date
001;Hojas (Envés);Nidos sedosos circulares adosados a los nervios (especialmente al segundo seminervio izquierdo). decoloración y manchas necróticas. defoliación.;Picador-chupador;Mayo-Noviembre
002;Hojas (Haz). desplazamiento a envés y/o fruto en ataque intenso;Decoloración marrón o un bronceado a lo largo del nervio central de la hoja. que progresa hacia las nervaduras laterales hasta afectar a la mayor parte de la superficie foliar. defoliación severa.;Picador-chupador;Junio-Diciembre
003;Hojas (Envés);Debilitamiento de la planta. segrega melaza. de la cual se alimenta el hongo negrilla. que invade la superficie de la hoja. reduciendo la capacidad fotosintética y respiratoria de la planta. en ataques muy intensos las hojas caen prematuramente.  Prácticamente todos los laureles ornamentales tienen presencia de esta plaga. En cítricos los daños suelen ser poco importantes.;Picador-chupador;Marzo-Diciembre
004;Hojas (Envés) . ramas;Su ataque puede provocar desde el debilitamiento de las plantas y el amarilleamiento del follaje. hasta incluso la muerte en plantas jóvenes. su ataque puede provocar desde el debilitamiento de las plantas y el amarilleamiento del follaje. hasta incluso la muerte en plantas jóvenes;Picador-chupador;Continua
005;Hojas y frutos (zonas húmedas y sombreadas);Hojas con color gris ceniciento o plateado que terminan volviéndose color castaño. presencia visible de puntos negros correspondientes a excrementos. posible desecación y defoliación en ataques intensos. los frutos atacados presentan zonas suberificadas y pueden llegar a resquebrajarse;Picador-chupador;Continua
006;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
007;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
008;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
009;Raíces. cuello del tronco y parte aérea;Hojas cloróticas y de menor tamaño que caen prematuramente. presencia de ramas muertas. pudrición en raíces con posibles exudados negro-azulados. lesión en la base del tronco o cuello con hendiduras o chancros que presentan exudados negros. la corteza se desprende fácilmente en fases avanzadas;Enfermedad;Continua
010;Raíces y base del tronco;Marchitez de hojas. desecación y decaimiento general de la copa que puede causar la muerte del árbol. asociado a una podredumbre radicular visible al excavar la base. especialmente en suelos encharcados;Enfermedad;Continua
011;Hojas. ramas y frutos;Aparición de una capa u hongo negro similar al hollín sobre la superficie vegetal. fuertemente asociada a la presencia de insectos secretores de melaza. mancha los frutos y reduce la capacidad fotosintética de las hojas;Enfermedad secundaria;Continua
012;Hojas. ramas y frutos;Aparición de manchas oscuras o pudrición en el tejido vegetal y especialmente en los frutos. requiere alerta máxima cuando se combinan alta humedad relativa y frutos receptivos en el árbol o en postcosecha;Enfermedad;Continua
013;Copa del árbol y ramas;Observación de marchitez o decaimiento en la copa de los árboles. al realizar un corte transversal en las ramas afectadas se observa una coloración oscura característica en los vasos conductores. requiere confirmación en laboratorio;Enfermedad;Continua
014;Copa del árbol y ramas;Observación de marchitez o decaimiento en la copa de los árboles. al realizar un corte transversal en las ramas afectadas se observa una coloración oscura característica en los vasos conductores. requiere confirmación en laboratorio;Enfermedad;Continua
015;Copa del árbol. ramas y frutos;Muerte regresiva o seca progresiva de ramas desde la punta hacia el interior. marchitez en la copa del árbol. necrosis en los tejidos afectados;Enfermedad;Julio-Septiembre
016;Frutos y ramas;Lesiones costrosas. corchosas o agrietadas de color marrón en la superficie de los frutos y ramas que deprecian gravemente su valor comercial;Enfermedad;Marzo-Junio
017;Árbol general. ramas y frutos;Decaimiento general del árbol y menor desarrollo. presencia de frutos deformados o con manchas. rayado longitudinal amarillento o rojizo en la corteza de las ramas tiernas;Enfermedad;Continua
018;Fruto ;Punteaduras o incisiones en la superficie del fruto. caída prematura de frutos no desarrollados. pudrición interna del fruto maduro por la alimentación larvaria en la pulpa y la aparición de hongos secundarios;Indirecto (adulto)  Caprófago (larva);Agosto-Noviembre
019;Fruto ;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Julio-Septiembre
020;Fruto ;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Julio-Septiembre
021;Fruto ;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Julio-Septiembre
022;Fruto ;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Abril-Septiembre
023;Hojas (jóvenes);Debilitamiento y decoloración de las hojas jóvenes. presencia de colonias de ninfas y adultos en el envés. secreción de melaza que provoca el desarrollo de negrilla;Picador-chupador;Marzo-Septiembre
024;Hojas (Envés) y fruto;Presencia de colonias en el envés de las hojas ocupando superficie foliar. secreción de melaza que favorece la aparición de negrilla sobre los frutos;Picador-chupador;Agosto-Septiembre
025;Brotes y partes verdes;Debilitamiento de los brotes y partes verdes. presencia de caparazones marrones (hembras muertas) adheridos a la rama. secreción de abundantes gotitas de melaza y aparición de negrilla;Picador-chupador;Diciembre-Septiembre
026;Brotes y ramas;Debilitamiento general de las ramas afectadas. abundante secreción de melaza que provoca la aparición de negrilla sobre las hojas. presencia frecuente de hormigas transitando por la zona;Picador-chupador;Junio-Septiembre
027;Brotes y ramas;Debilitamiento general de las ramas afectadas. abundante secreción de melaza que provoca la aparición de negrilla sobre las hojas. presencia frecuente de hormigas transitando por la zona;Picador-chupador;Junio-Diciembre
028;Fruto ;Roeduras y daños superficiales en la piel del fruto causados por la alimentación de las larvas (barrenetas). aparición fuertemente asociada a la presencia de cotonet y restos de melaza bajo el cáliz;Caprófago (larva);Agosto-Noviembre
029;Fruto ;Roeduras y daños superficiales en la piel del fruto causados por la alimentación de las larvas (barrenetas). aparición fuertemente asociada a la presencia de cotonet y restos de melaza bajo el cáliz;Caprófago (larva);Agosto-Noviembre
030;Tronco y ramas;Orificios y galerías de perforación en la madera del tronco y las ramas. posible expulsión de serrín al exterior. daños frecuentemente localizados en los árboles cercanos a los bordes de la parcela;Taladrador;Junio-Agosto
031;Fruto ;Cicatrices superficiales. manchas plateadas o tejido corchoso en la piel de los frutos en desarrollo producidas por las raspaduras de alimentación. siendo los daños más frecuentes en árboles situados en los bordes de la parcela;Picador-chupador;Marzo-Septiembre
032;Fruto ;Cicatrices. manchas plateadas o zonas decoloradas en la piel del fruto causadas por las raspaduras de alimentación. presentando daños concentrados característicamente en las áreas donde los frutos se rozan entre sí o con las hojas;Picador-chupador;Julio-Octubre
033;Hojas y frutos;Aparición de manchas necróticas circulares en las hojas que provocan una grave defoliación prematura del árbol. manchas en la piel del fruto. fuertemente asociada a la presencia de hojarasca sin descomponer en el suelo y a la coincidencia de altas humedades por lluvias o rocío;Enfermedad;Abril-Junio
034;Raíces y base del tronco;Decaimiento general y progresivo de la copa del árbol que puede llegar a causarle la muerte. pudrición visible en el sistema radicular y en la zona del cuello o base del tronco. fuertemente asociado a parcelas con mal drenaje;Enfermedad;Continua
035;Raíces y base del tronco;Marchitez de hojas. desecación y decaimiento general de la copa que puede causar la muerte del árbol. asociado a una podredumbre radicular visible al excavar la base. especialmente en suelos encharcados;Enfermedad;Continua
036;Raíces y base del tronco;Picaduras de oviposición en la piel del fruto que a menudo desarrollan una mancha oscura o necrosis a su alrededor. Las larvas excavan galerías en el interior alimentándose de la pulpa. lo que provoca una maduración prematura. pudrición interna y la caída del fruto al suelo;Enfermedad;Septiembre - Noviembre
037;Ramas. Frutos. Hojas.;Presencia de insectos con forma de caparazones globosos y blanquecinos adheridos a ramas hojas y frutos. Pueden producir melaza que posteriormente desarrolla negrilla;Picador-chupador;Junio-Noviembre
038;Ramas. Frutos. Hojas.;Presencia de insectos en forma de escama oscura adheridos a ramas hojas y frutos junto con una notable presencia de hormigas subiendo por el tronco. Puede aparecer melaza y negrilla;Picador-chupador;Continua
039;Ramas. Frutos. Hojas.;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Continua
040;Ramas. Frutos. Hojas.;Aparición de masas algodonosas blancas bajo el cáliz del fruto o en las flores. abundante secreción de melaza. presencia de negrilla y tránsito frecuente de hormigas;Picador-chupador;Continua
041;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
042;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
043;Tronco. ramas. brote;Observación visual de hormigas circulando por el tronco y ramas. presencia de hormigueros en el suelo. asociación frecuente con colonias de insectos que segregan melaza;Indirecto;Continua
044;Tronco. ramas. Hojas;Presencia de caracoles adheridos a troncos y ramas con roeduras y defoliacion en hojas y brotes tiernos;Masticador;Marzo - Mayo
045;Tronco. ramas. hojas;Presencia de caracoles adheridos a troncos y ramas con roeduras y defoliacion en hojas y brotes tiernos;Masticador;Marzo - Mayo
046;Copa Raíces. Tronco;Síntomas visuales de decaimiento en la copa del árbol. Pudrición en las raíces principales y en el cuello del tronco donde al raspar se observa la madera podrida;Enfermedad;Continua
047;Copa. Raíces. Tronco;Síntomas visuales de decaimiento en la copa del árbol conocidos como tristeza. Al realizar catas en el suelo se observa podredumbre en las raíces absorbentes y en el cuello del tronco;Enfermedad;Continua
048;Copa. Hojas. Ramas; Síntomas en copa con hojas de color café-grisáceo que no se caen y decaimiento parcial o total junto con rayados necróticos discontinuos sobre la madera al descortezar las ramas;Enfermedad;Continua
049;Ramas. Brotes. Yemas;Deformaciones en ramas y presencia de ácaros bajo las brácteas de las yemas de la última brotación;Picador-Chupador;Marzo-Mayo y Septiembre-Noviembre
050;Hojas;Presencia de hojas con manchas amarillas y visualizacion de formas vivas o puestas en la copa del arbol;Picador-Chupador;Julio-Septiembre
051;Hojas;Presencia del acaro rojo en hojas adultas de la ultima brotacion tanto en el exterior como en el interior de la copa;Picador-chupador;Continua
052;Hojas;Presencia del acaro oriental en hojas adultas de la ultima brotacion en el exterior de la copa;Picador-chupador;Continua
053;Brotes;Presencia de pulgones en los brotes tiernos del arbol;Picador-chupador;Marzo-Mayo
054;Brotes. Hojas;Presencia de pulgones oscuros en los brotes tiernos y hojas del arbol provocando enrollamiento y produccion de melaza y negrilla;Picador-chupador;Marzo-Mayo
055;Frutos. Hojas. Ramas;Presencia de escamas circulares de color blanco sobre los frutos hojas y ramas que provocan decoloraciones y deprecian el fruto comercialmente sin producir melaza;Picador-chupador;Continua
056;Frutos;Presencia de escudos sobre la superficie del fruto que provocan su depreciacion comercial;Picador-chupador;Julio-Agosto
057;Frutos;Presencia de escudos con forma de coma o serpeta sobre la superficie de los frutos que provocan su depreciacion comercial;Picador-chupador;Julio-Agosto
058;Hojas. Ramas. Frutos;Presencia de hembras con ovisacos algodonosos blancos en hojas y ramas produciendo abundante melaza y negrilla que debilita el arbol y deprecia los frutos;Picador-chupador;Continua
059;Frutos;Presencia de masas algodonosas blancas en los frutos con produccion de melaza y negrilla;Picador-chupador;Julio-Septiembre
060;Frutos;Presencia de masas algodonosas blancas en los frutos recien cuajados y en crecimiento provocando graves deformaciones en el fruto y produccion de melaza y negrilla;Picador-chupador;Marzo-Mayo
061;Ramas. Hojas;Presencia de cochinillas con un caracteristico ovisaco blanco estriado sobre ramas y hojas produciendo melaza;Picador-chupador;Continua
062;Brotes. Hojas;Presencia de colonias de mosca blanca con secreciones algodonosas en los brotes jovenes y hojas;Picador-chupador;Continua
063;Hojas;Presencia de ninfas vivas de mosca blanca en hojas jovenes totalmente desarrolladas de la ultima brotacion;Picador-chupador;Mayo Julio Septiembre
064;Hojas (Envés). Frutos;Presencia de infestacion por mosca blanca en el enves de las hojas produciendo negrilla sobre los frutos;Picador-chupador;Continua
065;Hojas (Envés).Brotes Frutos;Presencia de insectos en el enves de las hojas y brotes provocando danos visibles en los frutos;Picador-chupador;Agosto-Septiembre
066;Hojas (Envés).Brotes Frutos;Presencia de insectos en el enves de las hojas y brotes provocando danos visibles en los frutos;Picador-chupador;Agosto-Septiembre
067;Hojas (Envés).Brotes Frutos;Presencia de insectos en el enves de las hojas y brotes provocando danos visibles en los frutos;Picador-chupador;Agosto-Septiembre
068;Hojas (Envés).Brotes Frutos;Presencia de insectos en el enves de las hojas y brotes provocando danos visibles en los frutos;Picador-chupador;Agosto-Septiembre
069;Hojas (Haz). Hojas (Enves). Brotes;Presencia de deformaciones y abultamientos en el haz de las hojas ninfas en el enves y puestas amarillas con adultos en los brotes tiernos;Picador-chupador;Continua
070;Brotes. Hojas;Presencia de galerias sintomas o larvas vivas en los brotes tiernos;Minador;Continua
071;Flores Frutos;Presencia de puestas en botones florales y danos en flores y pequenos frutos;Masticador;Continua
072;Frutos;Presencia de picaduras en la piel con un caracteristico halo de decoloracion y pudricion interna de la pulpa por las larvas;Masticador;Continua
073;Frutos (Zona del caliz);Presencia de larvas de trips en frutos pequenos especialmente en la zona del caliz y bajo este;Picador-chupador;Continua
074;Frutos (Zona de contacto);Presencia de trips en las zonas donde los frutos entran en contacto entre ellos o con las hojas o ramas;Picador-chupador;Julio-Noviembre
